省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
湖南省,长沙市,望城区,梦洁股份,湖南梦洁家纺股份有限公司,服装与服饰,118928,10006,8.40%,梦洁股份(002397),,湖南省长沙市高新技术产业开发区麓谷产业基地谷苑路168号,湖南省长沙市高新技术产业开发区麓谷产业基地谷苑路168号,www.mendale.com,2010-4-29
湖南省,长沙市,望城区,泰嘉股份,湖南泰嘉新材料科技股份有限公司,建材与构件,23203,4611,19.90%,泰嘉股份(002843),,湖南省长沙市望城经济技术开发区泰嘉路68号,湖南省望城经济开发区泰嘉路68号,www.bichamp.com,2017-1-20
湖南省,长沙市,望城区,湘邮科技,湖南湘邮科技股份有限公司,计算机服务,16624,220,1.30%,湘邮科技(600476),,湖南省长沙市高新技术产业开发区麓谷基地玉兰路2号,湖南省长沙市高新技术产业开发区麓谷基地玉兰路2号,www.copote.com,2003-12-10
湖南省,长沙市,望城区,科力远,湖南科力远新能源股份有限公司,电子电气组件与设备,112815,-11907,-10.60%,科力远(600478),,湖南省长沙市高新技术产业开发区麓谷桐梓坡西路348号,湖南省长沙市高新技术产业开发区麓谷桐梓坡西路348号,www.corun.com,2003-9-18
湖南省,长沙市,望城区,长高集团,湖南长高高压开关集团股份公司,电子电气组件与设备,99420,9364,9.40%,长高集团(002452),,湖南省长沙市望城经济技术开发区金星北路三段393号,湖南省高科技食品工业基地金星大道西侧,www.gykg.cn,2010-7-20
