省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,福州市,晋安区,泰禾集团,泰禾集团股份有限公司,不动产投资开发,1598429,175025,10.90%,泰禾集团(000732),,福建省三明市梅列区徐碧,福建省福州市晋安区岳峰镇横屿路9号东二环泰禾城市广场2号楼20-31层,www.thaihot.com.cn,1997-7-4
福建省,福州市,晋安区,中国武夷,中国武夷实业股份有限公司,不动产投资开发,217023,21576,9.90%,中国武夷(000797),,福建省福州市五四路89号置地广场4层,福建省福州市五四路89号置地广场4层,www.chinawuyi.com.cn,1997-7-15
福建省,福州市,晋安区,福能股份,福建福能股份有限公司,电力（IV）,463887,60057,12.90%,福能股份(600483),,福建省南平市安丰路63号,福建省福州市五四路109号东煌大厦13楼,www.fjec.com.cn,2004-5-31
福建省,福州市,晋安区,茶花股份,茶花现代家居用品股份有限公司,家庭用品,52739,9108,17.30%,茶花股份(603615),,福建省福州市晋安区鼓山镇蕉坑路168号,福建省福州市晋安区鼓山镇蕉坑路168号,www.chahuajj.com,2017-2-13
福建省,福州市,晋安区,海峡环保,福建海峡环保集团股份有限公司,废物处理与回收服务,26107,8585,32.90%,海峡环保(603817),,福建省福州市晋安区鼓山镇洋里路16号,福建省福州市晋安区鼓山镇洋里路16号,www.fjhxhb.com,2017-2-20
