省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河南省,南阳市,西峡县,西泵股份,河南省西峡汽车水泵股份有限公司,汽车零配件（IV）,190782,19597,10.30%,西泵股份(002536),,河南省西峡县工业大道,河南省西峡县工业大道299号,www.xixia-waterpump.com,2011-1-11
河南省,洛阳市,西工区,洛阳玻璃,洛阳玻璃股份有限公司,建材与构件,26144,542,2.10%,洛阳玻璃(600876),,河南省洛阳市西工区唐宫中路9号,河南省洛阳市西工区唐宫中路9号,www.zhglb.com,1995-10-31
河南省,南阳市,卧龙区,利达光电,利达光电股份有限公司,电子电气组件与设备,68777,1641,2.40%,利达光电(002189),,河南省南阳市中州路254号,河南省南阳市工业南路508号,www.lida-oe.com,2007-12-3
河南省,南阳市,卧龙区,牧原股份,牧原食品股份有限公司,农业与渔业,715714,182117,25.40%,牧原股份(002714),,河南省南阳市内乡县灌涨镇水田村,河南省南阳市卧龙区龙升工业园区,www.hnnxmy.com,2014-1-28
河南省,许昌市,魏都区,许继电气,许继电气股份有限公司,电子电气组件与设备,526599,39116,7.40%,许继电气(000400),,河南省许昌市许继大道1298号,河南省许昌市许继大道1298号,www.xjec.com,1997-4-18
河南省,平顶山市,卫东区,神马股份,神马实业股份有限公司,通用化工品,797306,11017,1.40%,神马股份(600810),,河南省平顶山市建设路63号,河南省平顶山市建设路63号,--,1994-1-6
河南省,平顶山市,卫东区,平煤股份,平顶山天安煤业股份有限公司,煤炭开采,1648142,125203,7.60%,平煤股份(601666),,河南省平顶山市矿工中路21号,河南省平顶山市矿工中路21号,www.pmta.com.cn,2006-11-23
河南省,南阳市,社旗县,森霸股份,南阳森霸光电股份有限公司,电子电气组件与设备,12663,5054,39.90%,森霸股份(300701),,河南省南阳市社旗县城关镇,河南省南阳市社旗县城关镇,www.nysenba.com,2017-9-15
河南省,焦作市,山阳区,风神股份,风神轮胎股份有限公司,轮胎,568397,-21631,-3.80%,风神股份(600469),,河南省焦作市焦东南路48号,河南省焦作市焦东南路48号,www.aeolustyre.com,2003-10-21
河南省,焦作市,沁阳市,中原内配,中原内配(集团)股份有限公司,商用运载工具与车辆,110635,25279,22.80%,中原内配(002448),,河南省孟州市产业集聚区,河南省孟州市产业集聚区淮河大道69号,www.hnzynp.com,2010-7-16
河南省,濮阳市,濮阳县,濮耐股份,濮阳濮耐高温材料(集团)股份有限公司,建材与构件,198962,6054,3.00%,濮耐股份(002225),,河南省濮阳县西环路中段,河南省濮阳县西环路中段,www.punai.com,2008-4-25
河南省,焦作市,马村区,焦作万方,焦作万方铝业股份有限公司,有色金属,377362,18092,4.80%,焦作万方(000612),,河南省焦作市马村区待王镇焦新路南侧,河南省焦作市马村区待王镇东,www.jzwfly.cn,1996-9-26
河南省,洛阳市,栾川县,洛阳钼业,洛阳栾川钼业集团股份有限公司,金矿开采,1770653,344608,19.50%,洛阳钼业(603993),,河南省洛阳市栾川县城东新区画眉山路伊河以北,河南省洛阳市栾川县城东新区画眉山路伊河以北,www.chinamoly.com,2012-10-9
河南省,安阳市,林州市,林州重机,林州重机集团股份有限公司,工业机械,105484,2817,2.70%,林州重机(002535),,河南省林州市产业集聚区凤宝大道与陵阳大道交叉口,河南省林州市经济技术开发区凤宝大道与陵阳大道交叉口,www.lzzj.com,2011-1-11
河南省,洛阳市,老城区,隆华节能,洛阳隆华传热节能股份有限公司,工业机械,75956,5509,7.30%,隆华节能(300263),,河南省洛阳市空港产业集聚区,河南省洛阳市空港产业集聚区,www.longhuachuanre.com,2011-9-16
