省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
吉林省,吉林市,高新区,华微电子,吉林华微电子股份有限公司,半导体,112078,6635,5.90%,华微电子(600360),,吉林省吉林市高新区深圳街99号,吉林省吉林市高新区深圳街99号,www.hwdz.com.cn,2001-3-16
吉林省,吉林市,丰满区,苏宁环球,苏宁环球股份有限公司,不动产投资开发,288364,69559,24.10%,苏宁环球(000718),,吉林省吉林经济技术开发区九站街718号,吉林省吉林市丰满区松江南路55号,www.suning-universal.com,1997-4-8
吉林省,吉林市,昌邑区,吉林化纤,吉林化纤股份有限公司,通用化工品,160656,8537,5.30%,吉林化纤(000420),,吉林省吉林市昌邑区九站街516-1号,吉林省吉林市九站街516-1号,www.jlcfc.com,1996-8-2
吉林省,吉林市,昌邑区,中钢国际,中钢国际工程技术股份有限公司,建筑施工,483947,42326,8.70%,中钢国际(000928),,吉林省吉林市昌邑区江湾路2号10楼1002、1003,吉林省吉林市昌邑区江湾路2号世贸万锦10层,mecc.sinosteel.com,1999-3-12
