省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河北省,唐山市,丰南区,汇中股份,汇中仪表股份有限公司,工业机械,14507,3874,26.70%,汇中股份(300371),,河北省唐山高新技术产业开发区高新西道126号,河北省唐山市高新技术开发区清华道,www.hzyb.com,2014-1-23
河北省,唐山市,丰南区,三友化工,唐山三友化工股份有限公司,通用化工品,1490545,198730,13.30%,三友化工(600409),,河北省唐山市南堡开发区,河北省唐山市南堡开发区,www.sanyou-chem.com.cn,2003-6-18
河北省,唐山市,丰南区,惠达卫浴,惠达卫浴股份有限公司,家具,206679,21781,10.50%,惠达卫浴(603385),,河北省唐山市丰南区黄各庄镇惠达路7号,河北省唐山市丰南区黄各庄镇惠达路7号,www.huidagroup.com,2017-4-5
河北省,唐山市,丰南区,三孚股份,唐山三孚硅业股份有限公司,化工品（II）,79663,12055,15.10%,三孚股份(603938),,河北省唐山市南堡开发区工业区（唐山氯碱有限公司北侧）,河北省唐山市南堡开发区工业区（唐山氯碱有限公司北侧）,www.tssunfar.com,2017-6-28
