省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,肇庆市,高要区,广东鸿图,广东鸿图科技股份有限公司,工业机械,351621,29871,8.50%,广东鸿图(002101),,广东省肇庆市高要区金渡世纪大道168号,广东省肇庆市高要区金渡世纪大道168号,www.ght-china.com,2006-12-29
广东省,肇庆市,高要区,华锋股份,肇庆华锋电子铝箔股份有限公司,电子电气组件与设备,31135,1568,5.00%,华锋股份(002806),,广东省肇庆市端州区端州工业城,广东省肇庆市高要区金渡镇工业园二期B17地块,www.c-hfcc.com,2016-7-26
