省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
云南省,昆明市,盘龙区,云南旅游,云南旅游股份有限公司,酒店业,82288,5390,6.60%,云南旅游(002059),,云南省昆明市白龙路世博园,云南省昆明市世博路10号云南旅游股份有限公司办公楼,www.expo99km.com,2006-8-10
云南省,昆明市,盘龙区,ST景谷,云南景谷林业股份有限公司,林业,4520,-2352,-52.00%,ST景谷(600265),,云南省普洱市景谷县振兴路83号,云南省昆明市盘龙区王旗营路89号金领地大厦13层1304室,www.jgly.cn,2000-8-25
云南省,昆明市,盘龙区,太平洋,太平洋证券股份有限公司,投资服务,88655,13666,15.40%,太平洋(601099),,云南省昆明市北京路926号同德广场写字楼31楼,云南省昆明市北京路926号同德广场写字楼31楼,www.tpyzq.com,2007-12-28
